game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,1,1,0,11.958,0,0,20,2.341,20,1,728
0,0,2,0,9.801,0,1,11,0.725,1,1,715
0,2,0,0,15,0,0,,0,,1,
0,2,1,0,15,0,0,,0,,2,
0,0,2,0,0.0,0,2,13,0.0,2,3,671
1,2,0,0,15,0,0,,0,,3,
1,2,1,0,15,0,0,,0,,4,
1,2,2,0,15,0,0,,0,,5,
1,0,3,0,0.484,0,2,7,0.774,3,6,667
1,0,0,0,13.908,0,0,9,0.6,4,6,661
2,2,0,0,15,0,0,,0,,6,
2,0,1,0,0.0,0,2,15,0.0,5,7,619
