game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,0,1,0,0.0,0,2,13,7.621,1,0,289
0,0,1,0,7.663,0,1,8,0.71,2,0,311
1,0,1,0,5.253,0,1,15,1.738,3,0,321
1,2,1,0,15,0,0,,0,,0,
1,0,2,0,10.58,0,0,20,0.931,4,1,499
2,2,1,0,15,0,0,,0,,1,
2,0,2,0,6.484,0,1,12,0.826,5,2,537
