game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,2,1,0,15,0,0,,0,,1,
0,0,2,0,3.318,0,2,7,0.976,1,2,947
0,0,0,0,14.36,0,0,9,1.25,2,2,693
1,1,0,0,13.505,0,0,8,0.674,8,2,125
1,1,1,0,0.934,0,2,3,1.599,6,2,391
1,1,2,0,12.184,0,0,3,1.121,10,2,373
1,0,3,0,12.875,0,0,13,0.907,3,2,537
1,1,0,0,7.755,0,1,4,2.177,11,2,289
1,2,1,0,15,0,0,,0,,2,
1,0,2,0,0.0,0,2,6,0.0,4,3,391
2,0,0,0,3.569,0,2,10,0.985,5,3,373
