game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,10,0,0,,0,,0,
0,1,1,0,0.0,0,2,1,0.0,15,1,537
0,0,2,0,8.049,0,1,16,0.872,1,1,947
0,2,0,0,10,0,0,,0,,1,
0,1,1,0,0.0,0,2,15,0.0,15,2,537
0,2,2,0,10,0,0,,0,,2,
0,1,3,0,0.0,0,2,8,0.0,2,3,693
1,0,0,0,8.796,0,1,15,2.282,3,3,537
1,0,0,0,2.305,0,2,10,2.032,4,3,391
2,1,0,0,8.907,0,1,5,1.413,11,3,135
2,2,1,0,10,0,0,,0,,3,
2,2,2,0,10,0,0,,0,,4,
2,1,3,0,0.0,0,2,14,0.0,5,5,373
