game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,12.268,0,0,19,4.542,19,0,101
0,1,1,0,10.772,0,0,1,3.516,13,0,630
0,0,2,0,7.617,0,1,20,1.604,1,0,947
0,2,0,0,15,0,0,,0,,0,
0,0,1,0,0.0,0,2,9,0.0,2,1,693
1,0,0,0,7.287,0,1,6,0.844,3,1,537
1,0,0,0,10.186,0,0,7,1.595,4,1,391
2,1,0,0,3.454,0,2,5,0.509,11,1,135
2,1,1,0,1.292,0,2,5,0.784,13,1,630
2,1,2,0,2.162,0,2,5,2.257,19,1,101
2,1,3,0,7.492,0,1,17,2.007,5,1,373
