game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,0.0,0,2,1,0.0,1,0,584
0,1,1,0,0.0,0,2,1,0.0,1,0,584
0,1,2,0,0.0,0,2,1,0.0,1,0,584
0,1,3,0,0.0,0,2,10,0.0,1,0,565
0,1,0,0,8.542,0,1,6,0.983,6,0,252
0,0,1,0,8.56,0,1,8,0.497,2,0,499
1,2,0,0,15,0,0,,0,,0,
1,2,1,0,15,0,0,,0,,1,
1,0,2,0,10.112,0,0,9,0.657,3,2,321
1,1,0,0,6.01,0,1,17,2.054,17,2,135
1,1,1,0,1.079,0,2,4,3.555,3,2,321
1,0,2,0,0.0,0,2,16,0.0,4,2,311
2,1,0,0,12.24,0,0,15,2.675,15,2,314
2,1,1,0,1.933,0,2,15,1.602,15,2,314
2,1,2,0,1.32,0,2,8,1.178,20,2,101
2,1,3,0,8.996,0,1,14,0.637,5,2,177
