game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,10,0,0,,0,,0,
0,2,1,0,10,0,0,,0,,1,
0,2,2,0,10,0,0,,0,,2,
0,0,3,0,3.397,0,2,19,7.154,1,3,715
0,2,0,0,10,0,0,,0,,3,
0,2,1,0,10,0,0,,0,,4,
0,0,2,0,9.625,0,1,15,4.277,2,5,671
1,2,0,0,10,0,0,,0,,5,
1,1,1,0,1.344,0,2,12,0.372,12,6,710
1,2,2,0,10,0,0,,0,,6,
1,2,3,0,10,0,0,,0,,7,
1,2,0,0,10,0,0,,0,,8,
1,2,1,0,10,0,0,,0,,9,
1,2,2,0,10,0,0,,0,,10,
1,0,3,0,5.382,0,1,7,2.045,4,11,661
2,2,0,0,10,0,0,,0,,11,
2,2,1,0,10,0,0,,0,,12,
2,2,2,0,10,0,0,,0,,13,
2,2,3,0,10,0,0,,0,,14,
