game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,0,1,0,6.498,0,1,18,3.12,1,1,715
0,2,0,0,15,0,0,,0,,1,
0,1,1,0,5.898,0,1,6,0.628,6,2,661
0,1,2,0,2.656,0,2,6,0.775,6,2,661
0,1,3,0,1.004,0,2,17,1.399,2,2,671
1,1,0,0,3.986,0,2,6,1.703,6,2,661
1,0,1,0,13.763,0,0,11,2.268,3,2,667
1,2,0,0,15,0,0,,0,,2,
1,1,1,0,1.531,0,2,6,6.932,6,3,661
1,0,2,0,3.436,0,2,6,1.55,4,3,661
2,0,0,0,10.983,0,0,14,1.177,5,3,619
