game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,11.023,0,0,1,1.207,12,0,113
0,2,1,0,15,0,0,,0,,0,
0,1,2,0,0.0,0,2,19,0.0,19,1,732
0,0,3,0,2.174,0,2,20,3.093,1,1,565
0,2,0,0,15,0,0,,0,,1,
0,0,1,0,5.591,0,1,7,0.614,2,2,499
1,2,0,0,15,0,0,,0,,2,
1,1,1,0,10.121,0,0,14,2.929,14,3,135
1,1,2,0,6.803,0,1,16,1.399,16,3,101
1,1,3,0,13.826,0,0,13,1.245,3,3,321
1,2,0,0,15,0,0,,0,,3,
1,0,1,0,2.458,0,2,8,0.922,4,4,311
2,2,0,0,15,0,0,,0,,4,
2,1,1,0,5.83,0,1,16,1.083,16,5,101
2,0,2,0,2.183,0,2,18,0.683,5,5,177
