game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,10,0,0,,0,,0,
0,2,1,0,10,0,0,,0,,1,
0,1,2,0,0.0,0,2,8,0.0,8,2,906
0,0,3,0,3.968,0,2,9,1.105,1,2,947
0,1,0,0,3.785,0,2,2,1.271,8,2,906
0,1,1,0,3.57,0,2,2,1.124,7,2,606
0,1,2,0,3.283,0,2,2,2.028,10,2,391
0,1,3,0,8.401,0,1,14,1.083,2,2,693
1,2,0,0,10,0,0,,0,,2,
1,0,1,0,4.528,0,2,18,0.718,3,3,537
1,1,0,0,2.382,0,2,4,3.492,19,3,872
1,2,1,0,10,0,0,,0,,3,
1,0,2,0,0.198,0,2,10,0.803,4,4,391
2,2,0,0,10,0,0,,0,,4,
2,0,1,0,0.0,0,2,6,0.0,5,5,373
