game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,0.0,0,2,6,0.0,6,0,101
0,0,1,0,13.312,0,0,16,1.336,1,0,565
0,2,0,0,15,0,0,,0,,0,
0,0,1,0,0.0,0,2,11,0.0,2,1,499
1,2,0,0,15,0,0,,0,,1,
1,1,1,0,4.949,0,2,15,0.662,15,2,177
1,1,2,0,7.556,0,1,15,2.816,15,2,177
1,0,3,0,2.57,0,2,13,0.765,3,2,321
1,2,0,0,15,0,0,,0,,2,
1,1,1,0,0.0,0,2,4,0.0,20,3,135
1,0,2,0,11.096,0,0,10,1.866,4,3,311
2,1,0,0,10.749,0,0,5,0.926,14,3,125
2,1,1,0,10.049,0,0,5,1.821,18,3,113
2,1,2,0,6.032,0,1,5,1.228,14,3,125
2,1,3,0,1.659,0,2,15,2.265,5,3,177
