game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,1,1,0,11.715,0,0,15,2.371,15,1,391
0,2,2,0,15,0,0,,0,,1,
0,0,3,0,2.853,0,2,14,0.895,1,2,947
0,2,0,0,15,0,0,,0,,2,
0,2,1,0,15,0,0,,0,,3,
0,1,2,0,0.0,0,2,2,0.0,7,4,698
0,2,3,0,15,0,0,,0,,4,
1,2,0,0,15,0,0,,0,,5,
1,2,1,0,15,0,0,,0,,6,
1,1,2,0,1.83,0,2,19,2.066,19,7,872
1,0,3,0,1.28,0,2,20,0.701,3,7,537
1,2,0,0,15,0,0,,0,,7,
1,2,1,0,15,0,0,,0,,8,
1,0,2,0,1.715,0,2,15,0.906,4,9,391
2,2,0,0,15,0,0,,0,,9,
2,0,1,0,11.522,0,0,11,0.768,5,10,373
