game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,0,1,0,0.973,0,2,15,1.67,1,1,947
0,2,0,0,15,0,0,,0,,1,
0,0,1,0,0.0,0,2,7,0.0,2,2,693
1,2,0,0,15,0,0,,0,,2,
1,0,1,0,0.348,0,2,17,0.884,3,3,537
1,2,0,0,15,0,0,,0,,3,
1,1,1,0,0.0,0,2,20,0.0,20,4,373
1,0,2,0,4.869,0,2,11,2.79,4,4,391
2,1,0,0,10.561,0,0,10,1.444,10,4,289
2,1,1,0,8.52,0,1,9,1.294,9,4,101
2,0,2,0,7.477,0,1,20,1.486,5,4,373
