game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,9.932,0,1,1,2.733,15,0,671
0,0,1,0,6.775,0,1,20,1.45,1,0,715
0,2,0,0,15,0,0,,0,,0,
0,1,1,0,2.064,0,2,2,1.239,11,1,728
0,2,2,0,15,0,0,,0,,1,
0,1,3,0,0.0,0,2,15,0.0,2,2,671
1,1,0,0,10.708,0,0,3,0.831,8,2,593
1,2,1,0,15,0,0,,0,,2,
1,0,2,0,3.384,0,2,9,0.943,3,3,667
1,2,0,0,15,0,0,,0,,3,
1,0,1,0,3.64,0,2,17,1.19,4,4,661
2,0,0,0,12.583,0,0,14,0.754,5,4,619
