game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,10,0,0,,0,,0,
0,2,1,0,10,0,0,,0,,1,
0,2,2,0,10,0,0,,0,,2,
0,0,3,0,8.698,0,1,20,1.287,1,3,947
0,2,0,0,10,0,0,,0,,3,
0,2,1,0,10,0,0,,0,,4,
0,2,2,0,10,0,0,,0,,5,
0,0,3,0,0.0,0,2,13,0.0,2,6,693
1,2,0,0,10,0,0,,0,,6,
1,2,1,0,10,0,0,,0,,7,
1,2,2,0,10,0,0,,0,,8,
1,2,3,0,10,0,0,,0,,9,
1,2,0,0,10,0,0,,0,,10,
1,2,1,0,10,0,0,,0,,11,
1,2,2,0,10,0,0,,0,,12,
1,2,3,0,10,0,0,,0,,13,
2,2,0,0,10,0,0,,0,,14,
2,2,1,0,10,0,0,,0,,15,
2,2,2,0,10,0,0,,0,,16,
