game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,10,0,0,,0,,0,
0,1,1,0,0.0,0,2,1,0.0,9,1,661
0,1,2,0,6.783,0,1,15,6.07,15,1,667
0,1,3,0,0.458,0,2,19,0.874,1,1,715
0,2,0,0,10,0,0,,0,,1,
0,0,1,0,4.198,0,2,16,0.872,2,2,671
1,2,0,0,10,0,0,,0,,2,
1,0,1,0,0.0,0,2,15,0.0,3,3,667
1,1,0,0,0.0,0,2,10,0.0,0,3,619
1,1,1,0,0.0,0,2,4,0.0,10,3,619
1,2,2,0,10,0,0,,0,,3,
1,1,3,0,0.0,0,2,9,0.0,4,4,661
2,2,0,0,10,0,0,,0,,4,
2,0,1,0,1.972,0,2,10,2.191,5,5,619
