game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,9.994,0,1,16,0.83,16,0,135
0,1,1,0,0.934,0,2,15,0.828,15,0,113
0,2,2,0,10,0,0,,0,,0,
0,0,3,0,2.983,0,2,18,1.621,1,1,565
0,1,0,0,3.252,0,2,20,1.134,20,1,540
0,1,1,0,9.513,0,1,19,0.833,19,1,125
0,2,2,0,10,0,0,,0,,1,
0,0,3,0,0.229,0,2,14,1.358,2,2,499
1,0,0,0,5.805,0,1,12,1.381,3,2,321
1,2,0,0,10,0,0,,0,,2,
1,0,1,0,2.478,0,2,10,0.939,4,3,311
2,1,0,0,7.757,0,1,5,0.639,9,3,252
2,1,1,0,2.739,0,2,7,1.134,7,3,314
2,1,2,0,4.587,0,2,8,0.983,8,3,117
2,0,3,0,1.252,0,2,6,1.602,5,3,177
