game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,13.542,0,0,10,2.432,10,0,177
0,1,1,0,10.96,0,0,6,1.752,6,0,499
0,0,2,0,10.615,0,0,15,6.745,1,0,565
0,2,0,0,15,0,0,,0,,0,
0,1,1,0,0.0,0,2,19,0.0,19,1,113
0,2,2,0,15,0,0,,0,,1,
0,1,3,0,0.359,0,2,6,2.995,2,2,499
1,1,0,0,11.793,0,0,9,1.29,9,2,311
1,0,1,0,13.719,0,0,16,1.204,3,2,321
1,2,0,0,15,0,0,,0,,2,
1,0,1,0,8.677,0,1,9,0.654,4,3,311
2,2,0,0,15,0,0,,0,,3,
2,1,1,0,9.169,0,1,10,0.523,10,4,177
2,0,2,0,1.601,0,2,10,0.501,5,4,177
