game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,0,1,0,13.42,0,0,15,1.353,1,1,565
0,1,0,0,8.624,0,1,2,0.744,14,1,252
0,2,1,0,15,0,0,,0,,1,
0,1,2,0,0.701,0,2,2,0.612,11,2,117
0,2,3,0,15,0,0,,0,,2,
1,2,0,0,15,0,0,,0,,3,
1,1,1,0,13.725,0,0,3,1.171,18,4,135
1,1,2,0,9.766,0,1,3,1.412,9,4,177
1,0,3,0,0.954,0,2,10,0.632,3,4,321
1,2,0,0,15,0,0,,0,,4,
1,1,1,0,10.993,0,0,4,0.495,8,5,314
1,0,2,0,13.387,0,0,16,1.204,4,5,311
2,1,0,0,14.999,0,0,5,0.965,8,5,314
2,1,1,0,10.257,0,0,5,1.049,18,5,135
2,2,2,0,15,0,0,,0,,5,
2,2,3,0,15,0,0,,0,,6,
