game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,6.86,0,1,9,2.371,9,0,584
0,2,1,0,15,0,0,,0,,0,
0,1,2,0,6.37,0,1,15,4.214,15,1,113
0,2,3,0,15,0,0,,0,,1,
0,2,0,0,15,0,0,,0,,2,
0,1,1,0,0.028,0,2,2,0.71,18,3,117
0,2,2,0,15,0,0,,0,,3,
0,0,3,0,10.524,0,0,7,0.35,2,4,499
1,2,0,0,15,0,0,,0,,4,
1,0,1,0,9.076,0,1,16,1.199,3,5,321
1,1,0,0,4.179,0,2,4,1.202,17,5,314
1,1,1,0,3.436,0,2,18,2.981,18,5,117
1,2,2,0,15,0,0,,0,,5,
1,0,3,0,10.975,0,0,8,0.663,4,6,311
2,1,0,0,2.77,0,2,5,0.835,6,6,135
2,2,1,0,15,0,0,,0,,6,
2,0,2,0,12.298,0,0,12,0.783,5,7,177
