game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,3.144,0,2,7,2.835,7,0,1308
0,1,1,0,0.944,0,2,2,0.358,7,0,1308
0,1,2,0,8.977,0,1,1,0.697,18,0,1053
0,2,3,0,10,0,0,,0,,0,
0,1,0,0,6.866,0,1,2,0.853,19,1,1780
0,2,1,0,10,0,0,,0,,1,
0,2,2,0,10,0,0,,0,,2,
0,0,3,0,1.67,0,2,10,0.636,2,3,1565
1,2,0,0,10,0,0,,0,,3,
1,1,1,0,0.489,0,2,3,0.644,11,4,1457
1,1,2,0,1.801,0,2,14,1.294,14,4,1512
1,0,3,0,7.498,0,1,8,0.192,3,4,1473
1,0,0,0,0.983,0,2,11,0.645,4,4,1457
2,1,0,0,6.287,0,1,5,0.63,15,4,1271
2,2,1,0,10,0,0,,0,,4,
2,0,2,0,4.421,0,2,17,0.602,5,5,1305
