game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,4.852,0,2,7,0.683,7,0,565
0,0,1,0,2.924,0,2,7,0.813,1,0,565
0,0,0,0,12.608,0,0,16,1.188,2,0,499
1,1,0,0,14.384,0,0,3,3.089,13,0,177
1,2,1,0,15,0,0,,0,,0,
1,0,2,0,9.816,0,1,18,1.644,3,1,321
1,2,0,0,15,0,0,,0,,1,
1,1,1,0,0.0,0,2,5,0.0,0,2,113
1,1,2,0,0.0,0,2,9,0.0,0,2,125
1,1,3,0,0.0,0,2,10,0.0,4,2,311
2,1,0,0,11.172,0,0,5,0.834,7,2,113
2,1,1,0,3.621,0,2,5,1.09,12,2,101
2,1,2,0,10.348,0,0,5,2.497,12,2,101
2,0,3,0,5.376,0,1,13,0.778,5,2,177
