game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,0,1,0,11.604,0,0,20,1.863,1,1,715
0,2,0,0,15,0,0,,0,,1,
0,1,1,0,12.247,0,0,14,0.935,14,2,710
0,2,2,0,15,0,0,,0,,2,
0,0,3,0,0.0,0,2,11,0.0,2,3,671
1,1,0,0,8.584,0,1,3,1.325,9,3,661
1,1,1,0,13.238,0,0,12,0.785,12,3,593
1,1,2,0,14.473,0,0,14,1.858,14,3,710
1,1,3,0,0.984,0,2,15,1.804,3,3,667
1,1,0,0,10.868,0,0,18,1.244,18,3,619
1,1,1,0,6.59,0,1,16,1.082,16,3,587
1,2,2,0,15,0,0,,0,,3,
1,0,3,0,0.902,0,2,9,0.443,4,4,661
2,1,0,0,7.328,0,1,8,1.983,8,4,133
2,1,1,0,13.381,0,0,8,1.721,8,4,133
2,1,2,0,8.119,0,1,5,0.721,13,4,117
2,1,3,0,5.452,0,1,18,1.347,5,4,619
